,squareMeters,numberOfRooms,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price,category,PoolAndYard
0,75523,three,63,9373,3,8,2005,False,True,4313,9005,956,False,7,7559081.5,Basic,has pool and no yard
1,80771,thirty-nine,98,39381,8,6,2015,True,False,3653,2436,128,True,2,8085989.5,Luxury,has pool and has yard
2,55712,fifty-eight,19,34457,6,8,2021,False,False,2937,8852,135,True,9,5574642.1,Basic,has pool and no yard
3,32316,forty-seven,6,27939,10,4,2012,False,True,659,7141,359,False,3,3232561.2,Basic,no pool and no yard
4,70429,nineteen,90,38045,3,7,1990,True,False,8435,2429,292,True,4,7055052.0,Luxury,has pool and has yard
5,39223,thirty-six,17,39489,8,6,2012,False,True,2009,4552,757,False,1,3926647.2,Basic,has pool and no yard
6,58682,ten,99,6450,10,9,1995,True,True,5930,9453,848,False,5,5876376.5,Luxury,has pool and has yard
7,86929,one hundred,11,98155,3,4,2003,True,False,6326,4748,654,False,10,8696869.3,Basic,no pool and has yard
8,51522,three,61,9047,8,3,2012,True,True,632,5792,807,True,5,5154055.2,Basic,no pool and no yard
9,39686,forty-two,15,71019,5,8,2021,True,True,5198,5342,591,True,3,3970892.1,Basic,no pool and no yard
10,23563,twenty-one,90,91058,6,8,1993,True,False,703,852,684,True,10,2366397.3,Basic,has pool and no yard
11,96470,seventy-four,21,92029,4,2,2011,True,True,5414,1172,716,True,9,9652258.1,Basic,no pool and has yard
12,19127,thirty-one,5,7475,2,9,2008,False,False,5387,4430,374,False,4,1914688.8,Basic,no pool and has yard
13,13087,forty-four,77,40475,8,4,2004,True,False,1745,724,582,False,0,1320803.4,Basic,no pool and has yard
14,79770,three,69,54812,10,5,2018,False,True,8871,7117,240,False,7,7986665.8,Basic,has pool and no yard
15,75985,sixty,67,6517,6,9,2009,True,True,4878,281,384,True,5,7607322.9,Basic,no pool and has yard
16,64169,eighty-eight,6,61711,3,9,2011,True,True,3054,129,726,False,9,6420823.1,Basic,has pool and no yard
17,99371,thirty-one,16,96297,7,8,2013,True,True,3258,6296,354,True,8,9944705.3,Luxury,has pool and has yard
18,25966,thirty-seven,17,22818,3,1,2016,False,False,8257,2557,162,False,6,2604486.6,Basic,has pool and has yard
19,41792,forty-three,10,80768,9,5,2017,True,True,2950,9573,572,True,5,4187667.7,Luxury,has pool and has yard
20,28795,sixty-four,50,97667,3,4,2009,True,True,9862,2666,330,True,0,2888047.9,Luxury,has pool and has yard
21,92383,twelve,78,71982,3,7,2000,False,False,7507,9056,892,True,1,9244344.0,Basic,no pool and no yard
22,33279,sixty-four,65,91690,3,2,2019,True,True,2427,717,732,False,1,3333351.9,Basic,no pool and has yard
23,34782,forty-seven,73,35331,1,4,2020,False,True,9586,6604,822,False,2,3482594.0,Basic,no pool and no yard
