,index,long_hair,forehead_width_cm,forehead_height_cm,forehead_width_mm,forehead_width_conventional_units,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender,index,long_hair,forehead_width_cm,forehead_height_cm,forehead_width_mm,forehead_width_conventional_units,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
0,0,0.7042752185722092,11.8,6.1,118.0,0.02580645161290325,0.8956144406293041,0.477484706177568,0.8412606797947291,0.9026282982836515,,2515,0.8180176177647926,11.5,5.8,115.0,0.006451612903225784,0.1378061908920234,0.40261954586685184,0.16784350776824253,0.18891323581860786,Female
1,1,0.11868966637962453,14.0,5.4,140.0,0.16774193548387095,0.2025203397427346,0.18682483374699654,0.7196974668486262,0.3091220290150767,,2516,0.9959406273490252,15.2,5.8,152.0,0.24516129032258058,0.5706562584998501,0.9802366006400451,0.8114868353368192,0.9675399156216157,Male
2,2,0.20389376246711033,11.8,6.3,118.0,0.02580645161290325,0.892793425772288,0.7231516456482918,0.7258214452354568,0.7206399588697486,,2517,0.633805836651081,15.4,5.7,154.0,0.25806451612903225,0.709777431998762,0.3658249337154966,0.9330256164505236,0.6469919748967559,Male
3,3,0.38622837876096544,14.4,6.1,144.0,0.1935483870967742,0.024963313829631018,0.5620053453719644,0.8315148988139827,0.7703794499380548,,2518,0.7957917132129262,13.0,6.9,130.0,0.10322580645161288,0.8834541111509049,0.3997333280055126,0.5950281462199116,0.8224906365280802,Male
4,4,0.5640201197533543,13.5,5.9,135.0,0.13548387096774192,0.41538939421226423,0.06370456743309805,0.21158363039028816,0.15721679362694208,,2519,0.9151852961386491,14.2,5.8,142.0,0.18064516129032251,0.6529727548216078,0.735543444861075,0.5535712168109868,0.532909960484381,Male
5,5,0.6469729050643319,13.0,6.8,130.0,0.10322580645161288,0.7387493897633189,0.5978088122699937,0.9522228589199472,0.5032687915614209,,2520,0.2769740823146048,15.4,6.0,154.0,0.25806451612903225,0.8349230551352713,0.6625277649337431,0.7377462748736576,0.6091829375266294,Male
6,6,0.8953920896283414,15.3,6.2,153.0,0.2516129032258065,0.7058234825681812,0.6243078206533414,0.8331335425771131,0.46308476515949,,2521,0.9756227241344338,13.3,5.3,133.0,0.12258064516129034,0.9692096593159119,0.9131552929299844,0.5325740858125354,0.6657863999892948,Male
7,7,0.1794232707352877,13.0,5.2,130.0,0.10322580645161288,0.04014743197924164,0.11525930715684207,0.20152200953133903,0.35792020519406903,,2522,0.5736168337485528,12.2,6.2,122.0,0.05161290322580638,0.3276703856170588,0.75330885254701,0.2253852550201788,0.11324442040322202,Female
8,8,0.9444958636482793,11.9,5.4,119.0,0.03225806451612903,0.5643097612176751,0.4759252266502872,0.9125683480984716,0.8550257270534587,,2523,0.2783017095726158,14.3,5.2,143.0,0.18709677419354842,0.47591007571922495,0.4424217639576911,0.8779958886749399,0.03291829910420474,Female
9,9,0.7494381051061333,12.1,5.4,121.0,0.0451612903225806,0.48874498746877043,0.3390826146096325,0.36845379342426404,0.49262610502021764,,2524,0.9378704535339473,14.3,5.4,143.0,0.18709677419354842,0.034814013575086844,0.29825427185038506,0.22450774945259022,0.33847567037300313,Female
10,10,0.2162134547620403,12.5,5.4,125.0,0.07096774193548384,0.5816266107328307,0.5254842429199318,0.623713687450288,0.5806724551519461,,2525,0.7703401508636342,14.8,6.8,148.0,0.21935483870967745,0.5344219180297416,0.07093292071781021,0.8268432317811788,0.782300409175815,Male
11,11,0.9771598077848302,15.5,5.8,155.0,0.264516129032258,0.5724305791628499,0.7564011679511721,0.8525021637857251,0.8815294440892998,,2526,0.5097519408006921,11.5,6.1,115.0,0.006451612903225784,0.15878756719261983,0.10502914288419357,0.1432177523051245,0.47147569809755485,Female
12,12,0.21306729009633768,14.7,5.2,147.0,0.21290322580645155,0.6673775792295245,0.9617589018011573,0.8463206586539354,0.8997364565413604,,2527,0.633248086135103,11.8,7.0,118.0,0.02580645161290325,0.7465966231563972,0.9020553413854052,0.7912557003268416,0.7805175214565394,Male
13,13,0.9254349977732086,14.5,6.7,145.0,0.19999999999999998,0.07787810958091307,0.7874150950928057,0.7316770584370906,0.9852597247806887,,2528,0.8079185514453456,12.2,5.8,122.0,0.05161290322580638,0.5798386790965906,0.40369145728870665,0.953998858621645,0.7687484832950121,Male
14,14,0.9101141756050547,14.2,6.5,142.0,0.18064516129032251,0.47754108650477123,0.49129725428945237,0.18294180491295775,0.40594103897336054,,2529,0.762772164498825,11.4,5.9,114.0,0.0,0.44462251291909743,0.39671252281450153,0.36994443496932256,0.722756488672384,Female
15,15,0.17051611266391636,12.5,5.2,125.0,0.07096774193548384,0.6179464051403609,0.9490401088159583,0.6937825122396848,0.7789066646426273,,2530,0.6775328688970164,14.2,6.5,142.0,0.18064516129032251,0.41762489165021627,0.22429134050225796,0.07736702724658695,0.06382947313488296,Female
16,16,0.5989333257668523,15.2,6.0,152.0,0.24516129032258058,0.7223499046086819,0.932266341905784,0.6356777955600081,0.853825837266482,,2531,0.20107944247957077,13.9,6.4,139.0,0.16129032258064516,0.24019796192513188,0.24118827264740478,0.29693735759719214,0.48921803331222846,Female
17,17,0.9666038246084989,14.0,5.9,140.0,0.16774193548387095,0.3119911769705913,0.458079165894964,0.4775934521180862,0.027725937117909827,,2532,0.569554992808431,13.7,6.0,137.0,0.14838709677419348,0.716637945268329,0.9883033230314785,0.5590156539639404,0.786155501569631,Male
18,18,0.8094983809838785,11.9,5.2,119.0,0.03225806451612903,0.41913114253908673,0.47469963059243775,0.39328862572208484,0.202461411100414,,2533,0.9786869363779971,12.7,5.8,127.0,0.08387096774193542,0.06338754400842905,0.5294976290174143,0.81793246674543,0.6533607796710758,Male
19,19,0.9266478831700886,14.4,5.6,144.0,0.1935483870967742,0.5142195028001044,0.07817840534815129,0.612176309426731,0.8479469588391398,,2534,0.8070907020910592,13.2,5.3,132.0,0.11612903225806445,0.29750884521410237,0.43127044450263413,0.07429763741877621,0.48235298425440254,Female
20,20,0.5145234783756357,14.6,6.3,146.0,0.20645161290322575,0.6939515733281221,0.7895264649477161,0.8929727807560193,0.9971286932751995,,2535,0.5525153944426855,14.3,5.6,143.0,0.18709677419354842,0.9312561151020956,0.5321707738717723,0.5110297242302129,0.7245762490099658,Male
21,21,0.6481580461135943,12.8,7.0,128.0,0.09032258064516131,0.7557298403380684,0.880408617475451,0.8600050351700681,0.7066161777025541,,2536,0.01695193232097819,15.3,5.8,153.0,0.2516129032258065,0.61378757547934,0.5962574370280248,0.4970200260752465,0.9417827044127574,Male
22,22,0.6852047422293629,12.9,6.4,129.0,0.0967741935483871,0.8482715625009989,0.12287609274917627,0.0038011817161055506,0.6628730288244915,,2537,0.8145875018599202,13.5,5.8,135.0,0.13548387096774192,0.1714445418634295,0.11348222834144067,0.2179865452995472,0.17836431290570504,Female
23,23,0.16384842817587486,12.2,6.0,122.0,0.05161290322580638,0.7234948719841678,0.6928329169582974,0.3351750409031828,0.5839292280818567,,2538,0.8934329782740345,13.1,6.2,131.0,0.10967741935483867,0.30502455796165223,0.029591928640329168,0.0981307798224842,0.8568990558105807,Female
24,24,0.4365218534327457,14.2,5.3,142.0,0.18064516129032251,0.291931548583658,0.21375549740368466,0.4152977146795846,0.4874778634922463,,2539,0.5634814169403102,11.8,5.4,118.0,0.02580645161290325,0.18657387269682868,0.0903897474679039,0.30162507807256617,0.5612008552280271,Female
25,25,0.6711896991529733,12.3,6.3,123.0,0.05806451612903228,0.16552139757109086,0.061070788690116506,0.15556884539306948,0.1595554071798454,,2540,0.5978604658122323,11.7,5.4,117.0,0.01935483870967735,0.47578973607876296,0.6370928285494979,0.37698551637960714,0.10160184259729071,Female
26,26,0.6628176092349626,14.2,6.2,142.0,0.18064516129032251,0.02180296743351756,0.21059633410034767,0.13836960666477188,0.29950255463723535,,2541,0.5490062901282761,13.2,5.5,132.0,0.11612903225806445,0.5276445017868181,0.9603081757003552,0.8716355323718947,0.578157978076529,Male
27,27,0.5149563217175506,12.5,5.2,125.0,0.07096774193548384,0.28983944528296673,0.33891460630292713,0.07114648702288645,0.3381150466021715,,2542,0.6829478456105786,12.5,5.8,125.0,0.07096774193548384,0.8353016129336783,0.7818154099098664,0.7556882596962642,0.2611255464992031,Male
28,28,0.6299916505587312,15.5,5.7,155.0,0.264516129032258,0.6290456701383387,0.9966867933605128,0.9743223258483623,0.3426216339490955,,2543,0.15655872633804302,14.2,6.0,142.0,0.18064516129032251,0.6991722458166009,0.9821982815558771,0.0982873201097037,0.84486168697731,Male
29,29,0.7083608326312979,15.3,6.3,153.0,0.2516129032258065,0.6787838622240011,0.8923353764859234,0.5563407226113598,0.7336178476993568,,2544,0.059449393798028716,13.0,6.4,130.0,0.10322580645161288,0.3586132523885213,0.24599257539681502,0.08196355565783053,0.24314162346120838,Female
30,30,0.9448040578739745,15.3,5.2,153.0,0.2516129032258065,0.5714561037810233,0.7514293647750391,0.8030253895140246,0.8888116651266147,,2545,0.7419729206429309,15.3,6.7,153.0,0.2516129032258065,0.7653785854555746,0.9898757664990288,0.5500789920800889,0.42397036888774753,Male
31,31,0.7092267622726207,12.3,6.8,123.0,0.05806451612903228,0.5592902396426944,0.7464805445448948,0.9141439485793263,0.6254298592668206,,2546,0.9751738807708574,11.8,5.1,118.0,0.02580645161290325,0.11560638679740914,0.02960065212009305,0.8109399270251262,0.7677517610320235,Female
32,32,0.7497262020438987,11.8,5.3,118.0,0.02580645161290325,0.5916839832072386,0.4138683491669691,0.17448893548969835,0.031215956128680333,,2547,0.6118022873565199,12.2,6.2,122.0,0.05161290322580638,0.058437690984341595,0.42082538914069617,0.4346472219019411,0.4843866543873646,Female
33,33,0.8363737687961748,11.8,6.0,118.0,0.02580645161290325,0.5971286777376752,0.3011480444530203,0.2906842691726677,0.04868992166376673,,2548,0.5957883673904926,13.7,7.0,137.0,0.14838709677419348,0.5335737944984912,0.8612452604141003,0.6436212262642087,0.5175961848088062,Male
34,34,0.7633343800745602,12.7,5.4,127.0,0.08387096774193542,0.34649356749544,0.8730677031136196,0.7523368218301741,0.9765734860647052,,2549,0.7987744321186541,12.6,6.5,126.0,0.07741935483870963,0.1619037094928918,0.7816459050365987,0.13793911286904909,0.4695300904870199,Female
35,35,0.9310626846026051,14.1,6.1,141.0,0.17419354838709672,0.6033059419116351,0.7288692967443124,0.6235618347110041,0.7852496298267067,,2550,0.6231661164321991,11.4,5.3,114.0,0.0,0.26239415058989013,0.9625470038023733,0.28152394496968386,0.32523403502308024,Female
36,36,0.8096845536707071,12.9,6.0,129.0,0.0967741935483871,0.09089793265056528,0.18304144106156844,0.24138075132575376,0.2666370578167556,,2551,0.09482110038848546,12.4,5.8,124.0,0.06451612903225806,0.7049264189234177,0.5812062982098445,0.8469805358007183,0.7276097642372406,Male
37,37,0.8715129724407555,14.0,5.1,140.0,0.16774193548387095,0.525755367230577,0.2316010559656954,0.06553347386407765,0.057444884065427915,,2552,0.6943616232873145,15.0,6.4,150.0,0.23225806451612901,0.8347007521783582,0.7822829744933888,0.594102955921348,0.7291003069010553,Male
38,38,0.49148223151381787,13.5,5.2,135.0,0.13548387096774192,0.0569074735969865,0.32270706595780324,0.38077293262801454,0.267588906790191,,2553,0.6034756125893252,13.6,6.2,136.0,0.1419354838709677,0.7697034989506442,0.9496621468832618,0.13037257471740643,0.9320469117765351,Male
39,39,0.16266702585150644,15.5,6.3,155.0,0.264516129032258,0.508115208194839,0.9723473578881183,0.9526178080133627,0.9718024339469318,,2554,0.5461829452950087,12.2,6.4,122.0,0.05161290322580638,0.343552538860706,0.009051325397923471,0.022580714947672165,0.22450276300796268,Female
40,40,0.829067755374326,14.1,5.9,141.0,0.17419354838709672,0.430490840894267,0.10996947851642264,0.2663060078683874,0.03982304882233201,,2555,0.4122399439223488,11.5,6.2,115.0,0.006451612903225784,0.45483247249550507,0.19764761823569754,0.3999246937096737,0.2613884102057849,Female
41,41,0.799478009816533,14.4,6.8,144.0,0.1935483870967742,0.9055227759377427,0.5903760865123653,0.8822160194407882,0.6779310391758724,,2556,0.9816243169235552,13.6,5.7,136.0,0.1419354838709677,0.4566962340227855,0.4604129251129408,0.0551492219504115,0.03718728934746607,Female
42,42,0.7239521348540913,12.2,6.1,122.0,0.05161290322580638,0.9589798339963633,0.6017488217187595,0.5944398802072439,0.8380616850085594,,2557,0.6130626708791065,11.9,7.1,119.0,0.03225806451612903,0.5394852136836132,0.4451672631679217,0.7888872971611232,0.03101905394377069,Male
43,43,0.8959872226748415,11.5,6.2,115.0,0.006451612903225784,0.293311025050689,0.1252755400072662,0.16714247756746287,0.32504357189955735,,2558,0.5982168032494899,13.6,5.7,136.0,0.1419354838709677,0.06059030412329014,0.40926344816336124,0.11377460558421121,0.6282035818402767,Female
44,44,0.4404919311430029,12.9,6.3,129.0,0.0967741935483871,0.595207613895264,0.69536466799922,0.6223152687172142,0.7327156685890082,,2559,0.9937551313821704,13.3,6.2,133.0,0.12258064516129034,0.14053911483271714,0.35224685924614757,0.15530684137980716,0.07447290060389788,Female
45,45,0.8633872548896988,12.1,5.2,121.0,0.0451612903225806,0.6960428189011854,0.9712041268892924,0.8737960527004192,0.8889580933632895,,2560,0.7091049491595021,13.8,6.2,138.0,0.1548387096774194,0.42338496572108314,0.07991097160881916,0.3717165481157644,0.5497684394459571,Female
46,46,0.741817336271432,13.8,5.1,138.0,0.1548387096774194,0.4546757910123197,0.23894845858782027,0.1279367210868821,0.10806529829134176,,2561,0.769486818140212,13.8,6.0,138.0,0.1548387096774194,0.4523216055438107,0.03234100214591085,0.28713117848746633,0.4148410273344526,Female
47,47,0.6349830635784144,13.7,5.3,137.0,0.14838709677419348,0.3732718272624145,0.63438911787817,0.5928708587775938,0.0956196974329721,,2562,0.21614076691968215,12.7,7.1,127.0,0.08387096774193542,0.6180365998870475,0.8946878075742342,0.9911904064507259,0.7248234467789388,Male
48,48,0.6416746336254103,11.5,6.3,115.0,0.006451612903225784,0.7054812090581086,0.239329911334619,0.7600690065142739,0.04065539303477017,,2563,0.9240375531646408,13.5,6.2,135.0,0.13548387096774192,0.1267189127543623,0.024185822095068588,0.3723209489771603,0.25568333648144675,Female
49,49,0.6002846713958034,12.0,5.5,120.0,0.03870967741935481,0.21702821715229875,0.8039324303884223,0.1847086349141393,0.4400439634903737,,2564,0.7237091070527637,11.5,5.7,115.0,0.006451612903225784,0.9052282728357504,0.40704674784125217,0.5893870513120716,0.21885867625451305,Male
50,50,0.9969740886155716,14.1,5.4,141.0,0.17419354838709672,0.9378892368312234,0.7914810069136022,0.6217151596225914,0.22651356241383314,,2565,0.9175279059073025,13.3,7.0,133.0,0.12258064516129034,0.9894253104155308,0.6455018756608754,0.5950147415860105,0.8241570676385851,Male
51,51,0.8067682110870166,12.8,6.4,128.0,0.09032258064516131,0.47974876981880243,0.013049916016173613,0.4403932896986111,0.5850766955312042,,2566,0.8360509419530582,11.5,5.5,115.0,0.006451612903225784,0.7358430500725874,0.8388455958317618,0.7877772594932781,0.9373982561319526,Male
52,52,0.5648073044645068,12.9,5.3,129.0,0.0967741935483871,0.3065750281397891,0.17621201299145767,0.4857419470479056,0.19903240149416662,,2567,0.7955201527140636,12.1,6.5,121.0,0.0451612903225806,0.4398002318798378,0.04131789390145052,0.36348686530322455,0.381145358670008,Female
53,53,0.8910746783438621,13.5,5.3,135.0,0.13548387096774192,0.16487864444556327,0.46047548425937707,0.4253448852888161,0.15882831176856804,,2568,0.5619252598153948,14.3,7.0,143.0,0.18709677419354842,0.5718736858127089,0.5879269288759745,0.8003908289649053,0.0028057212736200543,Male
54,54,0.9490915823898778,14.0,5.3,140.0,0.16774193548387095,0.9044884618878939,0.5601157955124832,0.6279717953372765,0.945255030934633,,2569,0.8220897496766176,12.8,5.8,128.0,0.09032258064516131,0.0043627043648171715,0.47340675594261006,0.26897855240227464,0.055107969389279754,Female
55,55,0.954276688313156,11.4,5.6,114.0,0.0,0.017547534723465374,0.22538085272498104,0.9737962391870703,0.6338392737255354,,2570,0.6805923392947715,12.3,5.2,123.0,0.05806451612903228,0.9556002386719786,0.6265753377546774,0.5347093567196156,0.8010947415473011,Male
56,56,0.5371331974729652,15.4,5.1,154.0,0.25806451612903225,0.5206219438645787,0.5514054787153495,0.7365232937119931,0.013176051914327636,,2571,0.7672219014265977,14.6,6.1,146.0,0.20645161290322575,0.45004779973089726,0.44855232124149064,0.7371004061168303,0.5700527516228258,Male
57,57,0.7844616592482673,13.5,6.0,135.0,0.13548387096774192,0.5117148902547328,0.9450006134316202,0.5160249685673638,0.651120433240405,,2572,0.7657236731790247,13.4,6.7,134.0,0.12903225806451613,0.6576836470168456,0.7883810678114922,0.8635542221378425,0.5965112044623192,Male
58,58,0.5553275059909833,14.0,5.4,140.0,0.16774193548387095,0.043900037348068466,0.6998376701686164,0.2716538658734825,0.8631713586176986,,2573,0.7225246200595952,13.2,5.6,132.0,0.11612903225806445,0.34760892437911783,0.3986076811573154,0.29453165700747996,0.21785313552382535,Female
59,59,0.7302584886510435,14.1,5.9,141.0,0.17419354838709672,0.4298158871566181,0.24388547856944964,0.4866675396399162,0.12764390734726772,,2574,0.5817614789926842,14.1,5.3,141.0,0.17419354838709672,0.9611705913848233,0.6044812558766173,0.9917918595577706,0.8074896169287709,Male
60,60,0.9611026033101506,13.3,5.5,133.0,0.12258064516129034,0.4981316825692288,0.33816367145268,0.6544284116631782,0.14526524059595036,,2575,0.6395810081710104,13.7,5.3,137.0,0.14838709677419348,0.1850981581139604,0.21208256440041634,0.1030947419619564,0.2902678820215553,Female
61,61,0.7471538073284643,13.2,5.8,132.0,0.11612903225806445,0.21662976904627385,0.6686485535287388,0.5124015481515101,0.6324457434769988,,2576,0.8314161349278285,15.0,5.9,150.0,0.23225806451612901,0.12987474371926117,0.8307079276090852,0.7995834609523456,0.7454724362537416,Male
62,62,0.6851149092824018,11.9,5.4,119.0,0.03225806451612903,0.638356773832518,0.6210796608715943,0.4259519305608997,0.2928746239885978,,2577,0.6995614567184327,12.3,5.7,123.0,0.05806451612903228,0.028828180450948926,0.4345204537814831,0.41027237165773434,0.014703213337838583,Female
